1, 10, 20
2, 15, 25
3, 50, 60
4, 40, 45
5, 80, 90
6, 85, 88
7, 100, 120
8, 10, 50
9, 30, 30
10, 25, 15
11, 12, 22
12, 33, 44
13, 55, 66
14, 77, 88
15, 99, 111
16, 45, 55
17, 20, 40
18, 35, 25
19, 80, 20
20, 90, 70
21, 60, 10
22, 75, 50
23, 65, 80
24, 25, 45
25, 15, 65
26, 100, 20
27, 45, 35
28, 55, 25
29, 75, 65
30, 85, 45
31, 10, 90
32, 40, 80
33, 50, 70
34, 60, 60
35, 70, 40
36, 20, 20
37, 30, 50
38, 25, 30
39, 65, 30
40, 70, 90
41, 85, 75
42, 95, 55
43, 45, 65
44, 35, 85
45, 15, 75
46, 10, 100
47, 30, 20
48, 50, 40
49, 90, 10
50, 20, 50
